,id,name,alcoholic,category,glassType,instructions,drinkThumbnail,ingredients,ingredientMeasures,recipes
103,103,Frosé,Alcoholic,Cocktail,Cocktail glass,"Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,"['Rose', 'Sugar', 'Strawberries', 'Lemon Juice']","['750 ml', '1/2 cup', '8 oz', '2-3 oz']","question Generate a cocktail with Rose Sugar Strawberries Lemon Juice answer Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.

Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes. Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor. Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.

Step 3
Scrape rosé into a blender. Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth. Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.

Step 4
Blend again until frosé is slushy. Divide among glasses.

Step 5
Do Ahead: Rosé can be frozen 1 week ahead."
104,104,Frappé,Non alcoholic,Coffee / Tea,Highball Glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",https://www.thecocktaildb.com/images/media/drink/vqwryq1441245927.jpg,"['Coffee', 'Milk', 'Sugar']","['1/2 cup black ', '1/2 cup ', '1-2 tsp ']","question Generate a cocktail with Coffee Milk Sugar answer Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing."
105,105,Foxy Lady,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,"['Amaretto', 'Creme de Cacao', 'Light cream']","['1/2 oz ', '1/2 oz ', '2 oz ']","question Generate a cocktail with Amaretto Creme de Cacao Light cream answer Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
White Wine Sangria,106,French 75,Alcoholic,Ordinary Drink,Collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg,"['Gin', 'Sugar', 'Lemon juice', 'Champagne', 'Orange', 'Maraschino cherry']","['1 1/2 oz ', '2 tsp superfine ', '1 1/2 oz ', '4 oz Chilled ', '1 ', '1 ']","question Generate a cocktail with Gin Sugar Lemon juice Champagne Orange Maraschino cherry answer Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
107,107,Figgy Thyme,Alcoholic,Cocktail,Highball glass,"In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme.",https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,"['Vodka', 'Honey', 'Figs', 'Thyme', 'Angostura Bitters', 'Tonic Water']","['2 oz', '1 tsp', '3', '1 Sprig', '2 dashes', 'Top']","question Generate a cocktail with Vodka Honey Figs Thyme Angostura Bitters Tonic Water answer In a lewis bag, crush up some ice like a baller/maniac (@glacioice). Pour your precious ice into a collins glass. In a cocktail shaker, muddle the figs and thyme together. Add honey vodka, lemon juice, and a large ice cube (@glacioice). Shake until well chilled, and strain into glass. Add tonic water and finally 2 dashes of angostura bitters. Garnish with sliced figs and thyme."
108,108,Frisco Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg,"['Blended whiskey', 'Benedictine', 'Lemon', 'Lime', 'Lemon', 'Lime']","['2 oz ', '1/2 oz ', 'Juice of 1/4 ', 'Juice of 1/2 ', '1 slice ', '1 slice ']",question Generate a cocktail with Blended whiskey Benedictine Lemon Lime Lemon Lime answer Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.
109,109,Fruit Shake,Non alcoholic,Other / Unknown,Highball Glass,Blend til smooth.,https://www.thecocktaildb.com/images/media/drink/q0fg2m1484430704.jpg,"['Yoghurt', 'Banana', 'Orange juice', 'Fruit', 'Ice']","['1 cup fruit ', '1 ', '4 oz frozen ', '1/2 piece textural ', '6 ']",question Generate a cocktail with Yoghurt Banana Orange juice Fruit Ice answer Blend til smooth.
110,110,Fruit Cooler,Non alcoholic,Other / Unknown,Highball Glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",https://www.thecocktaildb.com/images/media/drink/i3tfn31484430499.jpg,"['Apple juice', 'Strawberries', 'Sugar', 'Lemon', 'Apple', 'Soda water', 'Ice']","['1 can frozen ', '1 cup ', '2 tblsp ', '1 ', '1 ', '1 L ', None]","question Generate a cocktail with Apple juice Strawberries Sugar Lemon Apple Soda water Ice answer Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve."
111,111,Freddy Kruger,Alcoholic,Shot,Shot glass,make it an ample size shot!!,https://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,"['Jägermeister', 'Sambuca', 'Vodka']","['1/2 oz ', '1/2 oz ', '1/2 oz ']",question Generate a cocktail with Jägermeister Sambuca Vodka answer make it an ample size shot!!
112,112,Funk and Soul,Alcoholic,Cocktail,Collins glass,Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg,"['Rum', 'Apricot Nectar', 'Pomegranate juice', 'lemon', 'Soda Water']","['2 shots', '1 shot', '1 shot', 'Juice of 1/2', 'Top']",question Generate a cocktail with Rum Apricot Nectar Pomegranate juice lemon Soda Water answer Mix all ingredients together and strain into a Collins glass. Use Jamaican rum where possible for a more authentic taste.
113,113,Fuzzy Asshole,Alcoholic,Coffee / Tea,Coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,"['Coffee', 'Peach schnapps']","['1/2 ', '1/2 ']",question Generate a cocktail with Coffee Peach schnapps answer fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.
114,114,French Martini,Alcoholic,Cocktail,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,"['Vodka', 'Raspberry Liqueur', 'pineapple juice']","['4.5 cl', '1.5 cl', '1.5 cl']",question Generate a cocktail with Vodka Raspberry Liqueur pineapple juice answer Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
115,115,French Negroni,Alcoholic,Cocktail,Martini Glass,"Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist.",https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,"['Gin', 'Lillet', 'Sweet Vermouth', 'Orange Peel']","['1 oz', '1 oz', '1 oz', '1']","question Generate a cocktail with Gin Lillet Sweet Vermouth Orange Peel answer Add ice to a shaker and pour in all ingredients.
Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
116,116,Fahrenheit 5000,Alcoholic,Shot,Shot glass,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,https://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,"['Firewater', 'Absolut Peppar', 'Tabasco sauce']","['1/2 oz ', '1/2 oz ', '1 dash ']",question Generate a cocktail with Firewater Absolut Peppar Tabasco sauce answer Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.
117,117,Flying Dutchman,Alcoholic,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",https://www.thecocktaildb.com/images/media/drink/mwko4q1582482903.jpg,"['Gin', 'Triple sec']","['2 oz ', '1/2 oz ']","question Generate a cocktail with Gin Triple sec answer In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well."
118,118,Frozen Daiquiri,Alcoholic,Ordinary Drink,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Cherry', 'Ice']","['1 1/2 oz ', '1 tblsp ', '1 1/2 oz ', '1 tsp ', '1 ', '1 cup crushed ']","question Generate a cocktail with Light rum Triple sec Lime juice Sugar Cherry Ice answer Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
119,119,Fruit Flip-Flop,Non alcoholic,Other / Unknown,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/nfdx6p1484430633.jpg,"['Yoghurt', 'Fruit juice']","['1 cup ', '1 cup ']","question Generate a cocktail with Yoghurt Fruit juice answer Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
120,120,Flying Scotchman,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/q53l911582482518.jpg,"['Scotch', 'Sweet Vermouth', 'Bitters', 'Sugar syrup']","['1 oz ', '1 oz ', '1 dash ', '1/4 tsp ']","question Generate a cocktail with Scotch Sweet Vermouth Bitters Sugar syrup answer Shake all ingredients with ice, strain into a cocktail glass, and serve."
121,121,French Connection,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg,"['Cognac', 'Amaretto']","['1 1/2 oz ', '3/4 oz ']",question Generate a cocktail with Cognac Amaretto answer Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
122,122,Flaming Dr. Pepper,Alcoholic,Shot,Collins Glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",https://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,"['Amaretto', 'Vodka', '151 proof rum', 'Dr. Pepper', 'Beer']","['1 oz ', '1 oz ', '1 oz Bacardi ', '1 oz ', '1 oz ']","question Generate a cocktail with Amaretto Vodka 151 proof rum Dr. Pepper Beer answer Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer"
123,123,Flaming Lamborghini,Alcoholic,Cocktail,Cocktail glass,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,"['Kahlua', 'Sambuca', 'Blue Curacao', 'Baileys irish cream']","['1 oz ', '1 oz ', '1 oz ', '1 oz ']","question Generate a cocktail with Kahlua Sambuca Blue Curacao Baileys irish cream answer Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!"
124,124,Flander's Flake-Out,Alcoholic,Ordinary Drink,Collins Glass,Bang 'em both in.,https://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg,"['Sambuca', 'Sarsaparilla']","['1/4 glass ', '3/4 glass ']",question Generate a cocktail with Sambuca Sarsaparilla answer Bang 'em both in.
125,125,Frozen Mint Daiquiri,Alcoholic,Ordinary Drink,Old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,"['Light rum', 'Lime juice', 'Mint', 'Sugar']","['2 oz ', '1 tblsp ', '6 ', '1 tsp ']",question Generate a cocktail with Light rum Lime juice Mint Sugar answer Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
126,126,Frozen Pineapple Daiquiri,Alcoholic,Ordinary Drink,Cocktail Glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.,https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg,"['Light rum', 'Pineapple', 'Lime juice', 'Sugar']","['1 1/2 oz ', '4 chunks ', '1 tblsp ', '1/2 tsp ']",question Generate a cocktail with Light rum Pineapple Lime juice Sugar answer Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a cocktail glass and serve.
127,127,GG,Optional alcohol,Ordinary Drink,Collins Glass,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,https://www.thecocktaildb.com/images/media/drink/vyxwut1468875960.jpg,"['Galliano', 'Ginger ale', 'Ice']","['2 1/2 shots ', None, None]",question Generate a cocktail with Galliano Ginger ale Ice answer Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.
128,128,Gimlet,Alcoholic,Cocktail,Martini Glass,"Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel.",https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg,"['Gin', 'Lime Juice', 'Sugar Syrup', 'Lime']","['2 1/2 oz', '1/2 oz', '1/2 oz', '1']","question Generate a cocktail with Gin Lime Juice Sugar Syrup Lime answer Add all the ingredients to a shaker and fill with ice.

Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.

Garnish with a lime wheel."
129,129,Godchild,Alcoholic,Ordinary Drink,Champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",https://www.thecocktaildb.com/images/media/drink/m5nhtr1504820829.jpg,"['Vodka', 'Amaretto', 'Heavy cream']","['1 oz ', '1 oz ', '1 oz ']","question Generate a cocktail with Vodka Amaretto Heavy cream answer Shake all ingredients well with cracked ice, strain into a champagne flute, and serve."
130,130,Gin Fizz,Alcoholic,Ordinary Drink,Highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",https://www.thecocktaildb.com/images/media/drink/drtihp1606768397.jpg,"['Gin', 'Lemon', 'Powdered sugar', 'Carbonated water']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', None]","question Generate a cocktail with Gin Lemon Powdered sugar Carbonated water answer Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water."
131,131,Gin Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",https://www.thecocktaildb.com/images/media/drink/noxp7e1606769224.jpg,"['Gin', 'Lemon juice', 'Sugar', 'Orange', 'Maraschino cherry']","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1 ', '1 ']","question Generate a cocktail with Gin Lemon juice Sugar Orange Maraschino cherry answer In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
132,132,Gagliardo,Alcoholic,Cocktail,Cocktail glass,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",https://www.thecocktaildb.com/images/media/drink/lyloe91487602877.jpg,"['Peach Vodka', 'Lemon juice', 'Galliano', 'Sirup of roses']","['5 parts ', '3 parts ', '1 part ', '1 part ']","question Generate a cocktail with Peach Vodka Lemon juice Galliano Sirup of roses answer Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy."
133,133,Godmother,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,https://www.thecocktaildb.com/images/media/drink/quksqg1582582597.jpg,"['Vodka', 'Amaretto']","['1 1/2 oz ', '3/4 oz ']",question Generate a cocktail with Vodka Amaretto answer Pour vodka and amaretto into an old-fashioned glass over ice and serve.
134,134,Godfather,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,https://www.thecocktaildb.com/images/media/drink/e5zgao1582582378.jpg,"['Scotch', 'Amaretto']","['1 1/2 oz ', '3/4 oz ']",question Generate a cocktail with Scotch Amaretto answer Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
135,135,Gluehwein,Optional alcohol,Punch / Party Drink,Irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",https://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,"['Red wine', 'Water', 'Sugar', 'Cinnamon', 'Cloves', 'Lemon peel']","['1 L ', '125 ml ', '60 gr ', '1 ', '3 ', '1 tblsp ']","question Generate a cocktail with Red wine Water Sugar Cinnamon Cloves Lemon peel answer Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
136,136,Gin Tonic,Alcoholic,Cocktail,Highball glass,"Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.",https://www.thecocktaildb.com/images/media/drink/qcgz0t1643821443.jpg,"['Gin', 'Tonic Water', 'Lemon Peel', 'Ice']","['4 cl', '10 cl', '1 Slice', 'cubes']","question Generate a cocktail with Gin Tonic Water Lemon Peel Ice answer Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge."
137,137,Gin Toddy,Alcoholic,Ordinary Drink,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",https://www.thecocktaildb.com/images/media/drink/jxstwf1582582101.jpg,"['Gin', 'Water', 'Powdered sugar', 'Lemon peel']","['2 oz ', '2 tsp ', '1/2 tsp ', '1 twist of ']","question Generate a cocktail with Gin Water Powdered sugar Lemon peel answer Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve."
138,138,Gin Smash,Alcoholic,Ordinary Drink,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/iprva61606768774.jpg,"['Gin', 'Carbonated water', 'Sugar', 'Mint', 'Orange', 'Cherry']","['2 oz ', '1 oz ', '1 cube ', '4 ', '1 slice ', '1 ']","question Generate a cocktail with Gin Carbonated water Sugar Mint Orange Cherry answer Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve."
139,139,Gin Daisy,Alcoholic,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/z6e22f1582581155.jpg,"['Gin', 'Lemon juice', 'Sugar', 'Grenadine', 'Maraschino cherry', 'Orange']","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1/2 tsp ', '1 ', '1 ']","question Generate a cocktail with Gin Lemon juice Sugar Grenadine Maraschino cherry Orange answer In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice."
140,140,Gin Lemon,Alcoholic,Cocktail,Highball glass,"For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served.",https://www.thecocktaildb.com/images/media/drink/6gdohq1681212476.jpg,"['Gin', 'Lemon Juice', 'Lemon Peel', 'Ice']","['6 cl', '8 cl', '1 Slice', 'cubes']","question Generate a cocktail with Gin Lemon Juice Lemon Peel Ice answer For the preparation of the gin lemon you will not need the shaker. Fill the tumbler with ice, pour the gin and lemonade over it. Gently mix and decorate with a slice of lemon. Those who prefer can also add a few mint leaves. Your gin lemon is ready to be served."
141,141,Gin Sling,Alcoholic,Ordinary Drink,Old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,https://www.thecocktaildb.com/images/media/drink/8cl9sm1582581761.jpg,"['Gin', 'Lemon', 'Powdered sugar', 'Water', 'Orange peel']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 tsp ', 'Twist of ']",question Generate a cocktail with Gin Lemon Powdered sugar Water Orange peel answer Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.
142,142,Greyhound,Alcoholic,Cocktail,Collins glass,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg,"['Vodka', 'Grapefruit Juice']","['1 1/2 oz', '3 oz']","question Generate a cocktail with Vodka Grapefruit Juice answer Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

"
143,143,Gin Rickey,Alcoholic,Cocktail,Highball glass,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,https://www.thecocktaildb.com/images/media/drink/s00d6f1504883945.jpg,"['Gin', 'Grenadine', 'lemon', 'Soda Water', 'Lime']","['2 oz ', '1 tsp ', 'Juice of 1/2 ', 'Top up with', 'Garnish']",question Generate a cocktail with Gin Grenadine lemon Soda Water Lime answer Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.
144,144,Gin Squirt,Alcoholic,Ordinary Drink,Highball glass,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",https://www.thecocktaildb.com/images/media/drink/xrbhz61504883702.jpg,"['Gin', 'Grenadine', 'Powdered sugar', 'Pineapple', 'Strawberries', 'Carbonated water']","['1 1/2 oz ', '1 tsp ', '1 tblsp ', '3 chunks', '2 ', None]","question Generate a cocktail with Gin Grenadine Powdered sugar Pineapple Strawberries Carbonated water answer Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve."
145,145,Grand Blue,Alcoholic,Ordinary Drink,Old-fashioned glass,Serve in an old fashioned glass.,https://www.thecocktaildb.com/images/media/drink/vsrsqu1472761749.jpg,"['Malibu rum', 'Peach schnapps', 'Blue Curacao', 'Sweet and sour']","['1 1/2 cl ', '1 1/2 cl ', '1 1/2 cl ', '3 cl ']",question Generate a cocktail with Malibu rum Peach schnapps Blue Curacao Sweet and sour answer Serve in an old fashioned glass.
146,146,Gin Cooler,Alcoholic,Ordinary Drink,Collins glass,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,https://www.thecocktaildb.com/images/media/drink/678xt11582481163.jpg,"['Gin', 'Carbonated water', 'Powdered sugar', 'Orange spiral', 'Lemon peel']","['2 oz ', None, None, None, None]",question Generate a cocktail with Gin Carbonated water Powdered sugar Orange spiral Lemon peel answer Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.
147,147,Gin Swizzle,Alcoholic,Ordinary Drink,Highball glass,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",https://www.thecocktaildb.com/images/media/drink/sybce31504884026.jpg,"['Lime juice', 'Sugar', 'Gin', 'Bitters', 'Club soda']","['1 1/2 oz ', '1 tsp superfine ', '2 oz ', '1 dash ', '3 oz ']","question Generate a cocktail with Lime juice Sugar Gin Bitters Club soda answer In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda."
